chunk_len_50.0,chunk_len_100.0,chunk_len_200.0,chunk_len_300.0
4.576895751953125,4.588680725097657,4.605290222167969,4.581245930989583
4.116443786621094,4.091293640136719,4.1422882080078125,4.129241943359375
3.547527160644531,3.478838806152344,3.4888140869140627,3.494462076822917
3.416768798828125,3.351240234375,3.3731451416015625,3.3243778483072917
3.254469909667969,3.2930508422851563,3.31870361328125,3.2661810302734375
3.2448135375976563,3.269271240234375,3.2207266235351564,3.142442830403646
3.17014404296875,3.162650146484375,3.1578076171875,3.0878338623046875
3.044283142089844,3.114385681152344,3.05840087890625,3.020649210611979
3.0121807861328125,3.0410986328125,2.9591351318359376,2.9166455078125
2.8970718383789062,2.9739498901367187,2.9175534057617187,2.8556392415364584
2.8617999267578127,2.891089172363281,2.8430905151367187,2.794503377278646
2.7973452758789064,2.835879211425781,2.7592095947265625,2.7261248779296876
2.7478958129882813,2.778107299804688,2.7067388916015624,2.685992431640625
2.6840133666992188,2.7135971069335936,2.6831341552734376,2.6354270426432294
2.669133605957031,2.68146484375,2.6494097900390625,2.5703021240234376
2.6309906005859376,2.6276040649414063,2.5969390869140625,2.552681884765625
2.552909240722656,2.573297119140625,2.573990783691406,2.526708984375
2.5204814147949217,2.5235464477539065,2.535226287841797,2.501357421875
2.496837921142578,2.522028045654297,2.5122494506835937,2.4666866048177085
2.5349761962890627,2.483458251953125,2.4769354248046875,2.4611527506510416
2.4919009399414063,2.47269287109375,2.476138916015625,2.4468870035807293
2.4851583862304687,2.4251283264160155,2.4412962341308595,2.398748982747396
2.463752899169922,2.431153259277344,2.424125213623047,2.39521728515625
2.433099822998047,2.406777801513672,2.38574462890625,2.371783447265625
2.429991455078125,2.365056915283203,2.3752769470214843,2.3439754231770835
2.415455474853516,2.3381163024902345,2.3467951965332032,2.3295247395833334
2.373390655517578,2.37149658203125,2.352891998291016,2.3284065755208334
2.3701695251464843,2.3069944763183594,2.3476832580566405,2.2969073486328124
2.3601924133300782,2.328033752441406,2.3402272033691407,2.282362060546875
2.3530914306640627,2.294966125488281,2.3243594360351563,2.273692423502604
2.31357666015625,2.271456451416016,2.293408050537109,2.2643672688802083
2.3344317626953126,2.275650939941406,2.2792633056640623,2.2710752360026043
2.335029602050781,2.235967102050781,2.2928507995605467,2.235304972330729
2.301854553222656,2.232902221679688,2.245977783203125,2.2194559733072916
2.295657958984375,2.253054504394531,2.239376983642578,2.223644816080729
2.282183532714844,2.2224079895019533,2.236433868408203,2.1960707600911458
2.242657165527344,2.208395690917969,2.222969055175781,2.190800984700521
2.296540832519532,2.179818420410156,2.192035064697265,2.164764607747396
2.224245758056641,2.1826040649414065,2.194550323486328,2.1441050211588544
2.301738433837891,2.1815530395507814,2.195562896728516,2.1488576253255207
2.2257908630371093,2.164712829589844,2.1732789611816408,2.1476755777994794
2.239873809814453,2.1650662231445312,2.171592102050781,2.1236651611328123
2.182572479248047,2.172740783691406,2.1339599609375,2.1252937825520832
2.177027130126953,2.1351969909667967,2.151231231689453,2.132337849934896
2.192693634033203,2.1079884338378907,2.134503936767578,2.0990309651692707
2.200314331054688,2.104427947998047,2.129866790771485,2.0971919759114583
2.1717097473144533,2.11041732788086,2.0969412231445315,2.0621980794270836
2.1364793395996093,2.1102760314941404,2.112624053955078,2.086006062825521
2.180084991455078,2.08765625,2.104882202148437,2.0491123453776043
2.1697512817382814,2.095962371826172,2.0925254821777344,2.05983642578125
2.1532853698730468,2.089751739501953,2.0696890258789065,2.0450252278645835
2.138582458496094,2.0657566833496093,2.0629225158691407,2.045479329427083
2.143044128417969,2.041279296875,2.077705535888672,2.0261417643229165
2.1108877563476565,2.076110534667969,2.0519676208496094,2.0332267252604166
2.158726806640625,2.055865173339844,2.075683898925781,2.0136765543619792
2.1172917175292967,2.051074676513672,2.027812042236328,1.9900858561197916
2.091952056884766,2.0235142517089844,2.0187722778320314,1.9924515787760417
2.093993682861328,2.019924774169922,2.026470642089844,1.9812642415364583
2.075791931152344,2.0089482116699218,2.0125416564941405,1.981554972330729
2.0687750244140624,2.0062303161621093,2.008565216064453,1.977808837890625
2.0708802795410155,1.993422088623047,1.9902742004394527,1.9841005452473959
2.0702308654785155,1.9591786193847656,1.9984059143066408,1.9690572102864583
2.0869073486328125,2.004907684326172,1.9814410400390623,1.9623097737630208
2.0740968322753908,1.981736297607422,1.970007476806641,1.9338389078776042
2.038940124511719,1.9593318176269527,1.9625749206542968,1.9520876057942709
2.05087158203125,1.951523590087891,1.9561842346191407,1.9121162923177084
2.0252200317382814,1.934954376220703,1.945942840576172,1.9491215006510416
2.0308383178710936,1.97859619140625,1.9658079528808596,1.9207157389322917
1.9880929565429688,1.9441412353515624,1.938521728515625,1.9029317220052084
1.9867315673828123,1.929633178710937,1.9255615234375,1.9192059326171875
2.017485809326172,1.9356086730957032,1.9274107360839845,1.9057887776692708
2.003507232666016,1.953656005859375,1.9194439697265624,1.890294189453125
2.038232879638672,1.917771759033203,1.8994166564941408,1.8896482340494791
1.9733648681640623,1.945712432861328,1.91716796875,1.8877543131510417
1.9948663330078125,1.932641143798828,1.9171743774414065,1.857657674153646
1.981051483154297,1.900328979492188,1.8950804138183597,1.8510099283854167
1.9652909851074216,1.9219610595703125,1.8955178833007813,1.8759975179036459
1.9929316711425784,1.8837966918945312,1.862666778564453,1.8493992106119792
2.012634582519531,1.8980091857910155,1.895431060791016,1.879096476236979
1.9484147644042968,1.8797834777832032,1.9054476928710935,1.859361572265625
1.9575534057617188,1.9011460876464843,1.8754148864746092,1.8326279703776043
1.9558172607421875,1.870918426513672,1.8924446105957031,1.8300020345052084
1.9541506958007813,1.8850494384765624,1.863780517578125,1.841944580078125
1.9573379516601563,1.8616212463378907,1.8748274230957032,1.816407674153646
1.944991912841797,1.860641632080078,1.8607797241210935,1.816158447265625
1.998324279785156,1.84292221069336,1.8494027709960936,1.7918583170572917
1.9120195007324217,1.876856231689453,1.8593675231933595,1.8178208414713541
1.930921630859375,1.8275782775878904,1.839608154296875,1.8017549641927084
1.9227345275878909,1.8947761535644527,1.840035095214844,1.7975016276041667
1.930487823486328,1.8632890319824216,1.831735534667969,1.8255621337890624
1.9603836059570312,1.838599090576172,1.820032196044922,1.79594482421875
1.9044190979003903,1.8270364379882813,1.798313751220703,1.8124125162760416
1.932530212402344,1.8154615783691408,1.8041371154785155,1.785086873372396
1.908791046142578,1.8431779479980468,1.8104873657226563,1.767813924153646
1.9144259643554689,1.808331298828125,1.804833221435547,1.780921630859375
1.91473373413086,1.809829559326172,1.7992465209960935,1.7998992919921875
1.9275309753417968,1.8306867980957031,1.796740264892578,1.7718703206380209
1.8985931396484368,1.7870204162597656,1.8164479064941408,1.7544205729166666
1.8921730041503904,1.843544464111328,1.7790744018554687,1.7500496419270832
1.943990173339844,1.801898956298828,1.808427276611328,1.7452945963541666
1.8687419128417968,1.7825416564941403,1.770385284423828,1.7347210693359374
1.8942578125,1.815694274902344,1.797277069091797,1.7476137288411457
1.8673377990722653,1.7914053344726562,1.778252410888672,1.7270536295572916
1.896176300048828,1.81999755859375,1.7648292541503907,1.7416451009114584
1.85400390625,1.7771530151367188,1.7952774047851563,1.7267694091796875
1.886049346923828,1.7994798278808597,1.77322509765625,1.7228426106770833
1.87726791381836,1.7825637817382811,1.802371063232422,1.7253023274739583
1.8585000610351563,1.7988072204589844,1.767812957763672,1.7152278645833334
1.839630126953125,1.7698274230957032,1.7518368530273438,1.6958285522460939
1.8582261657714845,1.7771543884277343,1.7467958068847655,1.740975138346354
1.869834899902344,1.759400634765625,1.747642059326172,1.7269850667317708
1.8515167236328125,1.7918301391601563,1.7428753662109375,1.7120450846354167
1.8834968566894528,1.7572502136230468,1.750899200439453,1.7272165934244792
1.8507911682128904,1.7525765991210938,1.7596295166015623,1.6857115681966146
1.8451055908203124,1.7482342529296877,1.7402255249023435,1.6813316853841145
1.8196624755859367,1.7277102661132813,1.7423408508300782,1.6983416748046876
1.8407606506347656,1.7804730224609375,1.729203338623047,1.6989661661783855
1.863394012451172,1.7585946655273437,1.7173759460449218,1.691626485188802
1.866089172363281,1.713587188720703,1.7363365173339844,1.68909912109375
1.804659118652344,1.71552734375,1.7246070861816407,1.6966309611002603
