hidden_size_50.0,hidden_size_100.0,hidden_size_150.0,hidden_size_200.0
4.635020141601562,4.646158142089844,4.598610534667968,4.619995727539062
4.448234558105469,4.331917114257813,4.087820434570313,4.095363159179687
4.120433044433594,3.596008605957031,3.3769497680664062,3.433874206542969
3.7421630859375,3.404390869140625,3.2957614135742186,3.3779776000976565
3.555517883300781,3.3124908447265624,3.2018035888671874,3.2897103881835936
3.458945007324219,3.2263714599609377,3.012727966308594,3.072206726074219
3.416903076171875,3.1259390258789064,2.9114566040039063,2.94520263671875
3.3400167846679687,3.041301574707031,2.832944030761719,2.835906982421875
3.3265594482421874,2.9620440673828123,2.735780944824219,2.766871337890625
3.3222885131835938,2.892176208496094,2.667073974609375,2.6792864990234375
3.2934820556640627,2.826513366699219,2.600186767578125,2.6031057739257815
3.270267944335937,2.7661322021484374,2.5675015258789062,2.5612863159179686
3.238377685546875,2.709952697753906,2.5039909362792967,2.5168370056152343
3.181868591308594,2.651522521972656,2.493610534667969,2.471818389892578
3.1218002319335936,2.596483154296875,2.443546142578125,2.459547576904297
3.120863037109375,2.59103515625,2.429367980957031,2.412478332519531
3.0714697265625,2.5440179443359376,2.4267764282226563,2.383686065673828
3.053384094238281,2.5124888610839844,2.3620823669433597,2.3772683715820313
3.029482727050781,2.523315124511719,2.330222625732422,2.3689915466308595
2.992653503417969,2.4868359375,2.33400146484375,2.332893829345703
2.946199035644532,2.4456333923339844,2.3077383422851563,2.3037339782714845
2.923159484863281,2.4036349487304687,2.2945806884765627,2.27764404296875
2.914666748046875,2.412905426025391,2.2613429260253906,2.2647181701660157
2.8557666015625,2.379068603515625,2.2404803466796874,2.2411021423339843
2.8222335815429687,2.3736418151855467,2.2299372863769533,2.2360935974121094
2.79669189453125,2.356428527832031,2.235605926513672,2.2065548706054687
2.771458740234375,2.324223175048828,2.188248748779297,2.213712158203125
2.731653137207031,2.323980712890625,2.1889845275878907,2.185149383544922
2.686454162597656,2.297368621826172,2.1886158752441407,2.1648847961425783
2.67629150390625,2.2611958312988283,2.14985595703125,2.1794776916503906
2.654375305175781,2.282719268798828,2.1251759338378906,2.146601104736328
2.624093017578125,2.2662451171875,2.113825378417969,2.132279052734375
2.6378106689453125,2.2387985229492187,2.109632873535156,2.1352609252929686
2.571014099121094,2.2490464782714845,2.0869819641113283,2.109537353515625
2.5916091918945314,2.2102203369140625,2.074918670654297,2.108162078857422
2.5629116821289064,2.2135215759277345,2.0814991760253907,2.0823735046386718
2.540906524658203,2.2226963806152344,2.0664556884765624,2.0674005126953126
2.506501007080078,2.1990406799316404,2.045897979736328,2.061506500244141
2.5020860290527343,2.1824732971191407,2.0506349182128907,2.07022705078125
2.477178955078125,2.163892059326172,2.0279237365722658,2.0409913635253907
2.456286926269532,2.134316253662109,2.028139038085937,2.001016845703125
2.459508666992188,2.155436248779297,2.009682464599609,2.014756927490234
2.4551914978027343,2.1440953063964843,2.000364990234375,2.0039608764648436
2.4281553649902343,2.1415869140625,1.9836215209960937,1.9906094360351563
2.450233917236328,2.1133436584472656,1.9531036376953128,1.9843234252929687
2.437100372314453,2.097363128662109,1.9450526428222656,1.9734927368164064
2.414120025634765,2.1110690307617186,1.9531304931640625,1.978790283203125
2.4030616760253904,2.104626007080078,1.9571490478515623,1.9605673217773438
2.375352935791016,2.08021499633789,1.928232421875,1.9359141540527345
2.378547821044922,2.05167221069336,1.9284378051757811,1.9269821166992187
2.360268859863281,2.058084259033203,1.906566162109375,1.9159861755371095
2.3589288330078126,2.0502024841308595,1.8789352416992189,1.911726837158203
2.353922882080078,2.03227783203125,1.8921473693847657,1.8995271301269532
2.357898406982422,2.055104064941406,1.8699562072753904,1.9024461364746095
2.3477241516113283,2.036977081298828,1.861824493408203,1.8884683227539063
2.3250718688964844,2.0252456665039062,1.8850579833984376,1.8984811401367188
2.320074615478516,2.0198709106445314,1.878544006347656,1.8733547973632811
2.3363092041015623,2.020400848388672,1.8601919555664064,1.8569419860839844
2.301168365478516,1.9829202270507813,1.873466033935547,1.8493841552734376
2.309334259033203,2.0050865173339845,1.8278656005859373,1.8592567443847656
2.2998236083984374,1.96610107421875,1.8326356506347656,1.8492478942871093
2.277329864501953,1.9838247680664065,1.8312898254394527,1.8258163452148437
2.2821945190429687,1.963542785644532,1.8145315551757808,1.8236393737792969
2.2703802490234377,1.9626300048828125,1.798966522216797,1.8398255920410156
2.278291931152344,1.9570724487304687,1.77906982421875,1.8040524291992188
2.2648060607910154,1.9453352355957032,1.80216064453125,1.856295166015625
2.272416839599609,1.93859375,1.7736140441894532,1.8050115966796876
2.249656982421875,1.934213562011719,1.7684649658203124,1.810458221435547
2.242191772460937,1.9217359924316408,1.7917500305175782,1.7707606506347657
2.246802215576172,1.9405953979492188,1.7501512145996094,1.773333740234375
2.247975158691406,1.9284458923339844,1.761324768066406,1.7752386474609374
2.2098321533203125,1.91218002319336,1.7667864990234374,1.8044898986816407
2.225973663330078,1.9128941345214845,1.765289306640625,1.758081512451172
2.240345916748047,1.8917205810546875,1.738243865966797,1.7873527526855468
2.189083251953125,1.899121551513672,1.7410906982421874,1.760634765625
2.2039549255371096,1.8975094604492184,1.769736785888672,1.7762730407714844
2.1885194396972656,1.8735287475585936,1.7551419067382812,1.711350860595703
2.1848768615722656,1.8714424133300784,1.737060241699219,1.7473956298828126
2.209239501953125,1.867868041992188,1.7539488220214845,1.7389669799804688
2.177964782714844,1.8658050537109367,1.7268109130859377,1.7147535705566406
2.1760980224609376,1.847811584472656,1.719453125,1.7388392639160157
2.166259765625,1.8608111572265624,1.6789781188964843,1.7292462158203126
2.171751098632813,1.8633297729492184,1.7433651733398436,1.7414918518066407
2.1781280517578123,1.845716247558593,1.7085049438476565,1.7057147216796875
2.145771942138672,1.8579974365234373,1.6805413818359376,1.7169068908691407
2.1445912170410155,1.812208709716797,1.707525634765625,1.7171748352050782
2.1385592651367187,1.8443571472167968,1.673122100830078,1.7138702392578125
2.124665679931641,1.8361724853515624,1.7041168212890625,1.700489501953125
2.137978515625,1.8354612731933595,1.659353485107422,1.718509979248047
2.114690704345703,1.821062774658203,1.67922607421875,1.7065216064453126
2.145677032470703,1.8000863647460938,1.6690478515625,1.7266981506347656
2.114462127685547,1.8075051879882813,1.6803489685058597,1.6980073547363281
2.1311495971679686,1.7997737121582031,1.6582313537597655,1.6756944274902343
2.106720581054688,1.7833287048339843,1.632733154296875,1.6992623901367188
2.129922180175781,1.844501953125,1.6769342041015625,1.6375215148925781
2.100164031982422,1.7897274780273438,1.673305816650391,1.6663188171386718
2.097769012451172,1.7804620361328125,1.6125559997558594,1.6689608764648438
2.1013169860839844,1.80303466796875,1.6506838989257813,1.6643133544921875
2.0740582275390627,1.7949714660644531,1.6611764526367188,1.663145751953125
2.075963592529297,1.80834716796875,1.6472563171386718,1.6636790466308593
2.0698312377929686,1.7779557800292969,1.6671855163574218,1.6699107360839844
2.0708578491210936,1.7827999877929688,1.636593017578125,1.6410044860839843
2.067136993408204,1.7724197387695313,1.6141387939453125,1.6504998779296876
2.0600901794433595,1.7740087890625,1.660345458984375,1.6671369934082032
2.0498088073730467,1.746017608642578,1.6139541625976563,1.6673843383789062
2.059348297119141,1.7589186096191407,1.6444837951660156,1.621624755859375
2.0374732971191407,1.7572813415527344,1.6303671264648438,1.6446830749511718
2.0457998657226564,1.7758854675292968,1.6376771545410156,1.6081991577148438
2.033125152587891,1.7436146545410156,1.6312939453125,1.6345846557617187
2.031310577392578,1.7568231201171876,1.6206600952148438,1.6355580139160155
2.023244171142578,1.7686691284179688,1.629398956298828,1.615188446044922
2.022686157226562,1.735814208984375,1.6073583984375,1.618355712890625
2.0285205078125,1.7415423583984375,1.605384063720703,1.6375392150878907
2.03262451171875,1.745277099609375,1.608292694091797,1.6012156677246094
2.0172979736328127,1.7142158508300782,1.5991297912597655,1.6191069030761718
2.028959045410156,1.7426780700683593,1.6056260681152343,1.6175509643554689
2.020113677978516,1.705511474609375,1.616281433105469,1.6075355529785156
2.017317657470703,1.7261325073242189,1.5900489807128906,1.613773651123047
2.002043762207032,1.7146713256835937,1.5926634216308593,1.5909341430664063
2.0040533447265627,1.7391712951660157,1.6112997436523435,1.6117681884765624
2.0087188720703124,1.7308633422851565,1.6021365356445312,1.5943943786621093
2.0038624572753907,1.719557952880859,1.5791661071777343,1.6164450073242187
2.0099522399902345,1.7233879089355468,1.5806813049316406,1.6000869750976563
1.984404754638672,1.7195404052734375,1.5825865173339844,1.6104275512695312
1.990321502685547,1.7269052124023438,1.6157969665527343,1.583918914794922
1.9779095458984373,1.7052017211914063,1.5967997741699218,1.5875868225097656
1.9863395690917969,1.7024314880371094,1.596083526611328,1.599486083984375
1.9696142578125,1.703556365966797,1.5741123962402344,1.6020668029785157
1.9832427978515623,1.7150967407226565,1.5930638122558594,1.617818603515625
1.964001922607422,1.6874504089355469,1.567071990966797,1.5807600402832032
1.9756719970703125,1.6908551025390626,1.5725007629394532,1.599430389404297
1.9651051330566407,1.6950761413574218,1.5752867126464845,1.57498291015625
1.9593435668945312,1.6847625732421876,1.554434814453125,1.5985099792480468
1.983081970214844,1.7104940795898438,1.574621734619141,1.6024684143066406
1.9602238464355468,1.6876382446289062,1.5698419189453126,1.5856401062011718
1.935220642089844,1.6892454528808594,1.5839175415039062,1.55992431640625
1.9553211975097653,1.6875161743164062,1.575041046142578,1.5552410888671875
1.9534004211425784,1.6860585021972656,1.5355496215820312,1.5538082885742188
1.946994018554688,1.6570745849609374,1.570115509033203,1.5683604431152345
1.931239013671875,1.6633209228515624,1.5576748657226562,1.560330352783203
1.9503260803222653,1.670670928955078,1.5297523498535155,1.532685546875
1.9273777770996088,1.6893807983398437,1.5512411499023435,1.5630923461914064
1.9605682373046875,1.6514646911621094,1.5530001831054687,1.5577598571777345
1.9513568115234368,1.64830322265625,1.545635070800781,1.5671817016601564
1.930566253662109,1.6718568420410156,1.5550802612304688,1.5293614196777343
1.9576356506347656,1.679320983886719,1.5535140991210938,1.5362736511230468
1.909995574951172,1.6548423767089844,1.547057800292969,1.5691444396972656
1.929596557617188,1.6412016296386718,1.5382211303710938,1.5665219116210938
1.9501199340820312,1.7010154724121094,1.5517539978027344,1.5487051391601563
1.93831283569336,1.65552978515625,1.5510844421386718,1.561123046875
1.9138819885253904,1.6595352172851563,1.5127388000488282,1.5535238647460938
1.91698974609375,1.6471647644042968,1.51317626953125,1.5286117553710938
1.907934112548828,1.6309915161132813,1.5472805786132813,1.5383941650390625
1.88626220703125,1.6676655578613282,1.5358425903320312,1.5536001586914063
1.946241149902344,1.6791262817382813,1.535712890625,1.531519012451172
1.904436798095703,1.672196502685547,1.5454820251464845,1.5402239990234374
1.911985168457032,1.6492100524902344,1.5413377380371094,1.5359725952148438
1.9191586303710937,1.6449212646484377,1.5255314636230468,1.565475616455078
1.900191192626953,1.638339691162109,1.5120176696777343,1.5314212036132813
1.887189331054688,1.6613246154785155,1.549679718017578,1.5123908996582032
1.9121078491210937,1.6689543151855468,1.5362213134765623,1.547826385498047
1.8707301330566408,1.6299371337890625,1.5239788818359374,1.5553427124023438
1.9071823120117188,1.660064697265625,1.521114501953125,1.557327117919922
1.88480712890625,1.6288972473144532,1.509174499511719,1.5378706359863281
1.8633639526367187,1.640891571044922,1.5222900390625,1.5278375244140625
1.908182525634765,1.632431793212891,1.534558563232422,1.5282278442382813
1.8693649291992187,1.646958770751953,1.5506324768066406,1.5415499877929688
1.874570770263672,1.6470106506347657,1.5195118713378906,1.5787271118164063
1.87768798828125,1.6492062377929688,1.543429260253906,1.5322563171386718
1.876230010986328,1.6527340698242188,1.517938995361328,1.5191952514648437
1.886232299804688,1.6258322143554689,1.530513916015625,1.5117556762695312
1.8569894409179688,1.6302371215820313,1.5387945556640623,1.5310240173339844
1.8436598205566408,1.6334603881835938,1.5126765441894532,1.541089324951172
1.864271545410156,1.6341224670410155,1.4788037109375,1.54787353515625
1.867051239013672,1.6138873291015623,1.510451202392578,1.5207867431640625
1.8648147583007808,1.6591192626953124,1.5299092102050782,1.5147740173339843
1.884505920410156,1.6309767150878909,1.5262893676757812,1.51895263671875
1.85001693725586,1.6243199157714845,1.5429510498046874,1.5299246215820312
1.854885406494141,1.5921412658691407,1.5116958618164062,1.509053955078125
1.8560812377929687,1.6069813537597657,1.510749053955078,1.5216807556152343
1.8839170837402344,1.6168475341796875,1.5039366149902345,1.5306661987304688
1.847742156982422,1.6019825744628906,1.5008561706542969,1.4951092529296874
1.853255920410156,1.5973287963867189,1.53361083984375,1.5026199340820312
1.850722198486328,1.6315605163574218,1.5143475341796877,1.5419570922851562
1.849478454589844,1.5964849853515626,1.4981971740722655,1.5171058654785157
1.8321920776367189,1.6004405212402344,1.479537353515625,1.493373565673828
1.8403038024902345,1.6102891540527344,1.5062306213378909,1.4902728271484376
1.8452593994140625,1.6051756286621093,1.510111083984375,1.4887408447265624
1.8291378784179688,1.617046356201172,1.457853546142578,1.519464111328125
1.8491943359375,1.6398951721191406,1.5149543762207032,1.4839930725097656
1.8439686584472657,1.5959266662597655,1.4797433471679688,1.494785919189453
1.833955383300781,1.6062991333007812,1.5092103576660156,1.5022427368164062
1.81501953125,1.5885223388671874,1.493658447265625,1.5073873901367187
1.816661529541016,1.62684326171875,1.453111572265625,1.4886105346679688
1.827842712402344,1.571989288330078,1.4920654296875,1.502781219482422
1.868805541992188,1.5875184631347656,1.518550567626953,1.5031382751464843
1.826397705078125,1.6073435974121093,1.4713818359375,1.5272036743164064
1.835648956298828,1.617981262207031,1.5170799255371097,1.4894120788574219
1.800975341796875,1.577297515869141,1.460679931640625,1.4994068908691407
1.8170341491699216,1.6131051635742188,1.5206272888183594,1.50234130859375
1.830914764404297,1.615087432861328,1.534658508300781,1.4987486267089845
1.8207093811035155,1.5886013793945313,1.4841119384765624,1.5116204833984375
1.801293182373047,1.598421936035156,1.4672068786621093,1.507178955078125
1.85418685913086,1.5884814453125,1.4948052978515625,1.4567825317382812
1.818602294921875,1.6102703857421874,1.4594854736328124,1.5071336364746093
1.80157943725586,1.6070513916015623,1.4785966491699218,1.492508544921875
1.8271836853027343,1.5771910095214845,1.4866281127929688,1.4703181457519532
1.8107701110839844,1.568218994140625,1.4778659057617187,1.488751220703125
1.791611328125,1.5643185424804686,1.466697998046875,1.5165036010742188
1.828003387451172,1.5929188537597656,1.459694366455078,1.4801014709472655
1.8265821838378904,1.587668914794922,1.4757475280761718,1.4768527221679688
1.8216334533691407,1.5831756591796875,1.4774986267089845,1.4852922058105469
1.8017823791503904,1.5799664306640624,1.4570391845703126,1.4753414916992187
1.81523178100586,1.5739901733398438,1.466953125,1.4840663146972657
1.824475402832032,1.6035757446289065,1.4311351013183593,1.4776922607421874
1.804570159912109,1.5713372802734376,1.4823304748535155,1.4733444213867188
1.796607208251953,1.5875543212890626,1.461463165283203,1.4715089416503906
1.8013168334960938,1.578579864501953,1.4739773559570313,1.478053741455078
1.8001486206054689,1.5835386657714845,1.4737777709960938,1.468165740966797
1.777461700439453,1.595921173095703,1.4649127197265626,1.4735769653320312
1.7913026428222656,1.5801107788085935,1.4595172119140625,1.4767652893066405
1.7722703552246093,1.5878312683105469,1.474026794433594,1.4871463012695312
1.7960749816894532,1.5827450561523435,1.4851361083984376,1.475660400390625
1.802549285888672,1.5679678344726562,1.4794895935058594,1.5068130493164062
1.794844512939453,1.564270324707031,1.4633193969726563,1.49780029296875
1.8195968627929688,1.5618508911132811,1.4599847412109377,1.4711154174804688
1.7922207641601562,1.5773468017578125,1.489162750244141,1.476248779296875
1.7778248596191406,1.5655886840820312,1.4578372192382814,1.4852877807617189
1.7851054382324218,1.5664019775390623,1.461184539794922,1.478905487060547
1.8003546142578124,1.5588735961914062,1.443851776123047,1.4853140258789062
1.786709747314453,1.5495834350585938,1.4684317016601562,1.4704896545410155
1.772230987548828,1.586872253417969,1.464096832275391,1.4790371704101561
1.7741275024414065,1.583022308349609,1.499506072998047,1.4729994201660157
1.766829071044922,1.582673797607422,1.4434226989746093,1.4713790893554688
1.7845770263671874,1.5791883850097657,1.4634413146972656,1.4940470886230468
1.7697676086425782,1.5409689331054688,1.4589743041992187,1.4619906616210938
1.7815525817871094,1.5900296020507811,1.4465762329101564,1.4896388244628906
1.8113417053222656,1.5839634704589844,1.4588337707519532,1.485721435546875
1.7697625732421876,1.5585072326660157,1.4691612243652343,1.4556863403320313
1.805396728515625,1.58419677734375,1.4502163696289063,1.4767787170410156
1.7813870239257812,1.5936994934082032,1.4605215454101563,1.4604219055175782
1.7478858947753906,1.5899732971191407,1.466837158203125,1.4783833312988282
1.8015098571777344,1.5863597106933591,1.4578044128417968,1.4691098022460938
1.7276565551757812,1.5542698669433594,1.4313623046875,1.4179637145996093
1.7755868530273438,1.5472509765625,1.4788418579101563,1.4476828002929687
1.7903157043457032,1.553893585205078,1.4847116088867187,1.448511505126953
1.7415672302246097,1.5358161926269531,1.473707275390625,1.4430574035644532
1.7948568725585938,1.5596040344238282,1.434320526123047,1.45132568359375
1.730018310546875,1.579870758056641,1.4411668395996091,1.4439308166503906
1.7805532836914062,1.5712181091308597,1.4577853393554687,1.4708517456054688
1.7745896911621093,1.5660963439941409,1.460962677001953,1.483116912841797
1.7518478393554688,1.558638153076172,1.4651313781738282,1.4645005798339843
1.7596028137207032,1.5432763671875,1.440419921875,1.4254983520507813
1.7555842590332031,1.559419403076172,1.4480128479003906,1.4664344787597656
1.724007110595703,1.5618812561035156,1.428989105224609,1.4581629943847656
1.7420774841308593,1.524453125,1.4390054321289063,1.4665858459472656
1.7527389526367188,1.5534077453613282,1.4455824279785157,1.4622308349609374
1.7524110412597655,1.5618110656738282,1.4771696472167968,1.473216552734375
1.7473251342773437,1.5457972717285156,1.4911936950683593,1.4509912109375
1.7392176818847656,1.5252560424804686,1.4684286499023438,1.4744892883300782
1.7644342041015626,1.5417807006835935,1.4300440979003906,1.4762147521972657
1.7556126403808594,1.5553329467773438,1.45012451171875,1.4381404113769531
1.7523440551757812,1.558627777099609,1.4484193420410156,1.416069793701172
1.7592108154296875,1.5433843994140626,1.4478805541992188,1.4403607177734374
1.7398495483398435,1.5464329528808594,1.453079071044922,1.4433808898925782
1.757138214111328,1.5173306274414062,1.453658905029297,1.4644203186035156
1.74943115234375,1.5449583435058594,1.4370301818847655,1.4586996459960937
1.732193603515625,1.5320001220703126,1.4496969604492187,1.444460906982422
1.7353053283691406,1.5619981384277344,1.4678268432617188,1.4258969116210938
1.761552276611328,1.5458840942382812,1.445691375732422,1.4346670532226562
1.743668670654297,1.53986328125,1.444272003173828,1.4356202697753906
1.7656373596191406,1.526393585205078,1.4229380798339843,1.4542254638671874
1.769577789306641,1.5361192321777344,1.470839691162109,1.4747341918945311
1.7616802978515624,1.5329446411132812,1.4503155517578126,1.43343505859375
1.7251052856445312,1.5400132751464843,1.4546302795410155,1.4439097595214845
1.7386668395996094,1.5373121643066403,1.4402706909179688,1.4801875305175782
1.7366249084472656,1.563806915283203,1.4564508056640626,1.4369967651367188
1.760845031738281,1.5220460510253906,1.4466925048828123,1.4462635803222657
1.741926727294922,1.519434814453125,1.4434054565429688,1.4235702514648438
1.7409468078613282,1.5021875,1.4640489196777344,1.4525782775878906
1.7479714965820312,1.5601861572265625,1.4046591186523438,1.4309187316894532
1.7381077575683594,1.5367686462402343,1.4294564819335938,1.440830078125
