n_layers_2.0,n_layers_2.0.1,n_layers_1.0,n_layers_2.0.2,n_layers_3.0,n_layers_1.0.1,n_layers_2.0.3,n_layers_3.0.1,n_layers_4.0
4.650995788574218,4.616789245605469,4.6163851928710935,4.605768737792968,4.599156799316407,4.594715881347656,4.616067504882812,4.5773751831054685,4.594498291015625
4.256394653320313,4.137546997070313,4.138877868652344,4.221825866699219,4.2126171875,4.13197509765625,4.285933227539062,4.121820373535156,4.318006591796875
3.725511474609375,3.5506130981445314,3.5486749267578124,3.533372802734375,3.554747314453125,3.5410443115234376,3.508349304199218,3.503939208984375,3.5628207397460936
3.3009909057617186,3.219851379394531,3.238824157714844,3.3472409057617187,3.4544903564453127,3.244559020996094,3.3915029907226564,3.451055603027344,3.3869482421875
3.119278259277344,3.12080078125,3.158731689453125,3.2855694580078123,3.405905456542969,3.1240133666992187,3.3218792724609374,3.402113342285156,3.3903192138671874
3.014716491699218,3.007216796875,2.987320861816406,3.162067260742188,3.3464694213867188,2.98674072265625,3.284129943847656,3.338314208984375,3.38404541015625
2.914081726074219,2.87857421875,2.9156539916992186,3.105194091796875,3.3333914184570315,2.9196795654296874,3.1950729370117186,3.3414923095703126,3.3583413696289064
2.822201232910156,2.8301626586914064,2.841923217773437,3.015602722167969,3.28652587890625,2.8415362548828127,3.11001220703125,3.3352490234375,3.3415191650390623
2.756229858398437,2.7328726196289064,2.785589294433594,2.959572448730469,3.270246887207031,2.75519287109375,3.0215118408203123,3.316748352050781,3.3709011840820313
2.677971496582032,2.694761962890625,2.707253112792969,2.876617736816406,3.2297012329101564,2.6904196166992187,2.982359619140625,3.307692565917969,3.3256280517578123
2.6189056396484376,2.639249572753906,2.6676126098632813,2.8497900390625,3.204107666015625,2.649637451171875,2.925026550292969,3.266804504394531,3.335814208984375
2.608653869628906,2.5978717041015624,2.639584045410156,2.774353332519531,3.15208740234375,2.601110534667969,2.8549041748046875,3.27682373046875,3.3110052490234376
