learning_rate_0.005,learning_rate_0.01,learning_rate_0.05,learning_rate_0.1
4.603248291015625,4.62826904296875,4.586018981933594,4.607857360839843
4.397726440429688,4.238809814453125,3.533666687011719,4.991151123046875
4.017657165527344,3.555500183105469,4.501600341796875,4.286364135742187
3.606162719726562,3.3631967163085936,5.301148071289062,6.452078857421875
3.4122418212890624,3.307392883300781,4.576630249023437,5.709891967773437
3.3839035034179688,3.19742919921875,4.259403076171875,5.30241943359375
3.345028991699219,3.1327764892578127,4.091625671386719,4.82764404296875
3.3244369506835936,3.039126281738281,3.894162292480469,4.310626525878906
3.245350341796875,2.996954345703125,3.8005145263671873,4.196031188964843
3.212330627441406,2.928194885253906,3.724346313476562,4.089781799316406
3.169305725097656,2.837884826660156,3.621817626953125,3.896408996582031
3.1688800048828125,2.781305236816406,3.549935302734375,3.7683416748046876
3.089346923828125,2.7132913208007814,3.45469970703125,3.4345867919921873
3.075010986328125,2.65329833984375,3.3136550903320314,3.4355682373046874
3.0222622680664064,2.621831359863281,3.23811767578125,3.5077099609375
2.9949331665039063,2.589383544921875,3.230792236328125,3.3724981689453126
2.959729919433593,2.555388641357422,3.21111083984375,3.358398742675781
2.944727478027344,2.509671325683594,3.1204702758789065,3.2963442993164063
2.9117941284179687,2.5025700378417968,3.070392761230469,3.145653076171875
2.874211730957031,2.4498008728027343,3.0740347290039063,3.122344665527344
2.8288897705078124,2.447052764892578,3.0063165283203124,3.112290954589844
2.7989776611328123,2.4073135375976564,2.981217956542969,3.0316738891601562
2.777796325683594,2.4192048645019533,2.944880065917969,3.0506878662109376
2.7335858154296875,2.3837950134277346,2.9267681884765624,3.0153802490234374
2.6950003051757814,2.348918914794922,2.8874005126953124,2.9639404296875
2.668270568847656,2.3432102966308594,2.850749816894531,2.94547607421875
2.658544921875,2.3375140380859376,2.836748046875,2.9126715087890624
2.62583740234375,2.3046925354003904,2.8118719482421874,2.928587646484375
2.617666931152344,2.286270751953125,2.796519775390625,2.878637390136719
2.5823245239257813,2.2770904541015624,2.7652215576171875,2.8608834838867185
2.580574951171875,2.260793914794922,2.749556884765625,2.8283767700195312
2.5273582458496096,2.272626953125,2.7534744262695314,2.8070819091796877
